#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         206     2.61381     2.61459 5.03705e-05
         207     2.61383     2.61459 5.02631e-05
         208     2.61384     2.61459 5.01487e-05
         209     2.61386     2.61458 5.00295e-05
         210     2.61387     2.61458 4.99058e-05
         211     2.61389     2.61458 4.97771e-05
         212      2.6139     2.61457 4.96438e-05
         213     2.61392     2.61457 4.95057e-05
         214     2.61393     2.61457  4.9363e-05
         215     2.61394     2.61456 4.92181e-05
         216     2.61396     2.61456 4.90693e-05
         217     2.61398     2.61456 4.89162e-05
         218       2.614     2.61456 4.87593e-05
         219     2.61401     2.61455 4.85994e-05
         220     2.61403     2.61455 4.84367e-05
         221     2.61405     2.61455 4.82705e-05
         222     2.61406     2.61455 4.81022e-05
         223     2.61408     2.61454 4.79322e-05
         224      2.6141     2.61454 4.77596e-05
         225     2.61411     2.61454 4.75866e-05
         226     2.61412     2.61454 4.74126e-05
         227     2.61413     2.61454 4.72373e-05
         228     2.61415     2.61453 4.70609e-05
         229     2.61416     2.61453 4.68841e-05
         230     2.61417     2.61453 4.67069e-05
         231     2.61418     2.61453 4.65298e-05
         232     2.61419     2.61453 4.63525e-05
         233      2.6142     2.61453 4.61746e-05
         234     2.61421     2.61453 4.59968e-05
         235     2.61422     2.61452  4.5819e-05
         236     2.61424     2.61452 4.56412e-05
         237     2.61425     2.61452 4.54633e-05
         238     2.61426     2.61452 4.52856e-05
         239     2.61427     2.61452 4.51083e-05
         240     2.61428     2.61452 4.49317e-05
         241     2.61428     2.61452 4.47563e-05
         242     2.61429     2.61452 4.45814e-05
         243      2.6143     2.61452 4.44069e-05
         244     2.61432     2.61451 4.42324e-05
         245     2.61433     2.61451 4.40586e-05
         246     2.61434     2.61451 4.38854e-05
         247     2.61434     2.61451 4.37131e-05
         248     2.61435     2.61451 4.35418e-05
         249     2.61436     2.61451 4.33713e-05
         250     2.61437     2.61451 4.32016e-05
         251     2.61438     2.61451 4.30328e-05
         252     2.61439     2.61451 4.28646e-05
         253      2.6144     2.61451 4.26975e-05
         254     2.61441     2.61451 4.25313e-05
         255     2.61442     2.61451  4.2366e-05
         256     2.61443     2.61451 4.22016e-05
         257     2.61444     2.61451 4.20382e-05
         258     2.61445     2.61451 4.18759e-05
         259     2.61446     2.61451 4.17146e-05
         260     2.61447     2.61451 4.15544e-05
         261     2.61448     2.61451 4.13954e-05
         262      2.6145     2.61451 4.12374e-05
         263     2.61451     2.61451 4.10806e-05
         264     2.61452     2.61451  4.0925e-05
         265     2.61453     2.61451 4.07707e-05
         266     2.61454     2.61451 4.06176e-05
         267     2.61455     2.61451 4.04658e-05
         268     2.61456     2.61451 4.03153e-05
         269     2.61458     2.61451 4.01662e-05
         270     2.61459     2.61451 4.00186e-05
         271     2.61461     2.61451 3.98725e-05
         272     2.61463     2.61451 3.97283e-05
         273     2.61463     2.61451 3.95853e-05
         274     2.61465     2.61451  3.9444e-05
         275     2.61466     2.61451 3.93044e-05
         276     2.61467     2.61451 3.91665e-05
         277     2.61468     2.61451   3.903e-05
         278      2.6147     2.61451 3.88953e-05
         279     2.61471     2.61451 3.87624e-05
