#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         246     3.00998     2.96322   0.0012649
         247     3.01041     2.96341  0.00127413
         248     3.01083      2.9636  0.00128326
         249     3.01124      2.9638  0.00129229
         250     3.01165     2.96399  0.00130121
         251     3.01204     2.96418  0.00131003
         252     3.01242     2.96437  0.00131875
         253     3.01279     2.96456  0.00132735
         254     3.01315     2.96475  0.00133584
         255      3.0135     2.96494  0.00134421
         256     3.01384     2.96514  0.00135246
         257     3.01418     2.96533  0.00136059
         258      3.0145     2.96552   0.0013686
         259     3.01481     2.96571  0.00137649
         260     3.01511      2.9659  0.00138425
         261      3.0154     2.96609  0.00139188
         262     3.01568     2.96628  0.00139938
         263     3.01596     2.96646  0.00140675
         264     3.01622     2.96665  0.00141399
         265     3.01647     2.96684  0.00142109
         266     3.01671     2.96703  0.00142806
         267     3.01694     2.96722   0.0014349
         268     3.01716      2.9674   0.0014416
         269     3.01737     2.96759  0.00144815
         270     3.01757     2.96777  0.00145457
         271     3.01775     2.96796  0.00146085
         272     3.01793     2.96814  0.00146699
         273     3.01809     2.96832  0.00147298
         274     3.01825     2.96851  0.00147883
         275     3.01839     2.96869  0.00148453
         276     3.01851     2.96887  0.00149009
         277     3.01863     2.96905   0.0014955
         278     3.01873     2.96923  0.00150077
         279     3.01882      2.9694  0.00150588
         280      3.0189     2.96958  0.00151084
         281     3.01896     2.96976  0.00151565
         282     3.01901     2.96993  0.00152031
         283     3.01905      2.9701  0.00152481
         284     3.01907     2.97028  0.00152915
         285     3.01907     2.97045  0.00153334
         286     3.01906     2.97062  0.00153738
         287     3.01904     2.97079  0.00154125
         288       3.019     2.97095  0.00154496
         289     3.01894     2.97112  0.00154851
         290     3.01887     2.97129   0.0015519
         291     3.01878     2.97145  0.00155513
         292     3.01868     2.97161  0.00155819
         293     3.01855     2.97177  0.00156109
         294     3.01841     2.97193  0.00156382
         295     3.01825     2.97209  0.00156638
         296     3.01808     2.97224  0.00156878
         297     3.01789      2.9724  0.00157101
         298     3.01767     2.97255  0.00157306
         299     3.01744      2.9727  0.00157495
         300      3.0172     2.97285  0.00157667
         301     3.01693     2.97299  0.00157822
         302     3.01665     2.97314   0.0015796
         303     3.01635     2.97328  0.00158081
         304     3.01603     2.97342  0.00158186
         305     3.01569     2.97356  0.00158273
         306     3.01534      2.9737  0.00158344
         307     3.01497     2.97383  0.00158397
         308     3.01458     2.97396  0.00158435
         309     3.01418     2.97409  0.00158456
         310     3.01376     2.97422   0.0015846
         311     3.01332     2.97435  0.00158449
         312     3.01288     2.97447  0.00158422
         313     3.01241     2.97459  0.00158379
         314     3.01194     2.97471   0.0015832
         315     3.01145     2.97483  0.00158247
         316     3.01096     2.97494  0.00158158
         317     3.01045     2.97505  0.00158056
         318     3.00993     2.97516  0.00157939
         319     3.00941     2.97527  0.00157808
         320     3.00888     2.97537  0.00157664
         321     3.00835     2.97548  0.00157507
         322     3.00781     2.97558  0.00157338
         323     3.00727     2.97568  0.00157157
         324     3.00673     2.97577  0.00156963
         325     3.00618     2.97587  0.00156759
         326     3.00564     2.97596  0.00156544
         327     3.00511     2.97605  0.00156319
         328     3.00457     2.97613  0.00156084
         329     3.00405     2.97622   0.0015584
         330     3.00353      2.9763  0.00155588
         331     3.00301     2.97638  0.00155327
         332     3.00251     2.97646  0.00155058
         333     3.00202     2.97654  0.00154782
         334     3.00154     2.97661    0.001545
         335     3.00107     2.97668  0.00154211
         336     3.00061     2.97676  0.00153916
         337     3.00017     2.97682  0.00153616
         338     2.99974     2.97689  0.00153312
         339     2.99932     2.97696  0.00153002
         340     2.99892     2.97702  0.00152688
         341     2.99854     2.97709  0.00152371
         342     2.99817     2.97715   0.0015205
         343     2.99781     2.97721  0.00151726
         344     2.99746     2.97727  0.00151399
         345     2.99713     2.97732   0.0015107
         346     2.99681     2.97738  0.00150738
         347     2.99649     2.97744  0.00150404
         348     2.99619     2.97749  0.00150068
         349     2.99589     2.97754  0.00149731
         350      2.9956     2.97759  0.00149392
         351     2.99532     2.97764  0.00149052
         352     2.99503     2.97769   0.0014871
         353     2.99475     2.97774  0.00148367
         354     2.99446     2.97779  0.00148023
         355     2.99417     2.97784  0.00147678
         356     2.99387     2.97788  0.00147332
         357     2.99356     2.97793  0.00146985
         358     2.99324     2.97797  0.00146637
         359     2.99291     2.97801  0.00146287
         360     2.99256     2.97805  0.00145937
         361     2.99219     2.97809  0.00145585
         362      2.9918     2.97813  0.00145232
         363     2.99139     2.97816  0.00144878
         364     2.99095      2.9782  0.00144522
         365     2.99048     2.97823  0.00144166
         366     2.98999     2.97826  0.00143807
         367     2.98946     2.97829  0.00143448
         368      2.9889     2.97832  0.00143087
         369     2.98831     2.97835  0.00142725
         370     2.98768     2.97838  0.00142361
         371     2.98701      2.9784  0.00141997
         372     2.98631     2.97842  0.00141631
         373     2.98557     2.97844  0.00141264
         374     2.98479     2.97846  0.00140897
         375     2.98397     2.97847  0.00140529
         376     2.98311     2.97848   0.0014016
         377     2.98221     2.97849  0.00139792
         378     2.98128      2.9785  0.00139424
         379      2.9803     2.97851  0.00139057
         380     2.97929     2.97851  0.00138691
         381     2.97824     2.97851  0.00138327
         382     2.97715      2.9785  0.00137966
         383     2.97603      2.9785  0.00137607
         384     2.97487     2.97849  0.00137252
         385     2.97368     2.97848  0.00136901
         386     2.97246     2.97846  0.00136555
         387      2.9712     2.97844  0.00136215
         388     2.96992     2.97842  0.00135882
         389     2.96861     2.97839  0.00135556
         390     2.96727     2.97836  0.00135238
         391      2.9659     2.97833   0.0013493
         392     2.96451      2.9783  0.00134632
         393      2.9631     2.97826  0.00134345
         394     2.96166     2.97822   0.0013407
         395      2.9602     2.97817  0.00133808
         396     2.95872     2.97812   0.0013356
         397     2.95721     2.97807  0.00133328
         398     2.95569     2.97801  0.00133111
         399     2.95415     2.97795  0.00132912
         400      2.9526     2.97789  0.00132731
         401     2.95103     2.97782  0.00132569
         402     2.94944     2.97775  0.00132427
         403     2.94785     2.97768  0.00132306
         404     2.94625      2.9776  0.00132207
         405     2.94464     2.97752  0.00132131
         406     2.94303     2.97743  0.00132078
         407     2.94142     2.97735   0.0013205
         408     2.93982     2.97725  0.00132046
         409     2.93823     2.97716  0.00132067
         410     2.93666     2.97706  0.00132114
         411     2.93512     2.97696  0.00132186
         412     2.93361     2.97685  0.00132283
         413     2.93215     2.97674  0.00132405
         414     2.93073     2.97663  0.00132551
         415     2.92938     2.97652   0.0013272
         416     2.92809      2.9764   0.0013291
         417     2.92689     2.97628  0.00133121
         418     2.92578     2.97616   0.0013335
         419     2.92477     2.97604  0.00133594
         420     2.92387     2.97592  0.00133852
         421     2.92309     2.97579  0.00134121
         422     2.92244     2.97566  0.00134398
         423     2.92192     2.97554   0.0013468
         424     2.92155     2.97541  0.00134962
         425     2.92132     2.97528  0.00135244
         426     2.92125     2.97516   0.0013552
         427     2.92132     2.97503  0.00135788
         428     2.92155      2.9749  0.00136044
         429     2.92194     2.97478  0.00136286
         430     2.92247     2.97466  0.00136511
         431     2.92315     2.97454  0.00136716
         432     2.92396     2.97442    0.001369
         433     2.92491     2.97431  0.00137061
         434     2.92598      2.9742  0.00137197
         435     2.92717     2.97409  0.00137306
         436     2.92847     2.97398   0.0013739
         437     2.92985     2.97388  0.00137446
         438     2.93133     2.97379  0.00137475
         439     2.93287     2.97369  0.00137478
         440     2.93448      2.9736  0.00137454
         441     2.93614     2.97352  0.00137404
         442     2.93784     2.97344   0.0013733
         443     2.93957     2.97336  0.00137233
         444     2.94133     2.97329  0.00137113
         445      2.9431     2.97322  0.00136973
         446     2.94488     2.97316  0.00136813
         447     2.94665      2.9731  0.00136636
         448     2.94842     2.97304  0.00136442
         449     2.95018     2.97299  0.00136233
         450     2.95192     2.97295   0.0013601
         451     2.95364      2.9729  0.00135776
         452     2.95534     2.97286  0.00135531
         453     2.95702     2.97283  0.00135277
         454     2.95866      2.9728  0.00135015
         455     2.96028     2.97277  0.00134747
         456     2.96187     2.97275  0.00134472
         457     2.96343     2.97273  0.00134194
         458     2.96495     2.97271  0.00133911
         459     2.96645      2.9727  0.00133626
         460     2.96793     2.97269   0.0013334
         461     2.96937     2.97268  0.00133053
         462     2.97079     2.97267  0.00132765
         463     2.97218     2.97267  0.00132479
         464     2.97355     2.97268  0.00132193
         465      2.9749     2.97268   0.0013191
         466     2.97623     2.97269  0.00131629
         467     2.97753      2.9727  0.00131351
         468     2.97882     2.97271  0.00131077
         469     2.98009     2.97273  0.00130807
         470     2.98134     2.97275  0.00130542
         471     2.98257     2.97277  0.00130281
         472     2.98378     2.97279  0.00130026
         473     2.98497     2.97282  0.00129777
         474     2.98615     2.97284  0.00129533
         475      2.9873     2.97287  0.00129296
         476     2.98843     2.97291  0.00129066
         477     2.98954     2.97294  0.00128842
         478     2.99062     2.97298  0.00128626
         479     2.99168     2.97302  0.00128417
         480     2.99271     2.97306  0.00128215
         481      2.9937      2.9731   0.0012802
         482     2.99466     2.97315  0.00127832
         483     2.99558     2.97319  0.00127652
         484     2.99646     2.97324  0.00127479
         485      2.9973     2.97329  0.00127312
         486     2.99809     2.97334  0.00127153
         487     2.99884     2.97339  0.00126999
         488     2.99954     2.97345  0.00126852
