# Generation Best_Length AvgBestHalf
741 65.8416 65.8416
742 65.815 65.8416
743 65.815 65.8407
744 65.7527 65.8393
745 65.7527 65.8369
746 65.7527 65.8335
747 65.7527 65.8335
748 65.7527 65.8335
749 65.7527 65.8335
750 65.7527 65.8335
751 65.7527 65.8335
752 65.7527 65.8335
753 65.7527 65.8335
754 65.7527 65.8335
755 65.7527 65.8335
756 65.7527 65.8335
757 65.7527 65.8335
758 65.7527 65.8335
759 65.7527 65.8335
760 65.7527 65.8335
761 65.7527 65.8335
762 65.7527 65.8335
763 65.7527 65.8335
764 65.7527 65.8335
765 65.7527 65.8335
766 65.7527 65.8335
767 65.7527 65.8335
768 65.7527 65.8335
769 65.7527 65.8335
770 65.7527 65.8335
771 65.7527 65.8335
772 65.7527 65.8335
773 65.7527 65.8335
774 65.7527 65.8335
775 65.7527 65.8335
776 65.7527 65.8335
777 65.7527 65.8335
778 65.7527 65.8028
779 65.7527 65.7562
780 65.7527 65.7527
781 65.7527 65.7527
782 65.7527 65.7527
783 65.7527 65.7527
784 65.7527 65.7527
785 65.7527 65.7527
786 65.7527 65.7527
787 65.7527 65.7527
788 65.7527 65.7527
789 65.7527 65.7527
790 65.7527 65.7527
791 65.7527 65.7527
792 65.7527 65.7527
793 65.7527 65.7527
794 65.7527 65.7527
795 65.7527 65.7527
796 65.7527 65.7527
797 65.7527 65.7527
798 65.7527 65.7527
799 65.7527 65.7527
800 65.7527 65.7527
801 65.7527 65.7527
802 65.7527 65.7527
803 65.7527 65.7527
804 65.7527 65.7527
805 65.7527 65.7527
806 65.7527 65.7527
807 65.7527 65.7527
808 65.7527 65.7527
809 65.7527 65.7527
810 65.7527 65.7527
811 65.7527 65.7527
812 65.7527 65.7527
813 65.7527 65.7527
814 65.7527 65.7527
815 65.7527 65.7527
816 65.7527 65.7527
817 65.7527 65.7527
818 65.7527 65.7527
819 65.7527 65.7527
820 65.7527 65.7527
821 65.7527 65.7527
822 65.7527 65.7527
823 65.7527 65.7527
824 65.7527 65.7527
825 65.7527 65.7527
826 65.7527 65.7527
827 65.7527 65.7527
828 65.7527 65.7527
829 65.7527 65.7527
830 65.7527 65.7527
831 65.7527 65.7527
832 65.7527 65.7527
833 65.7527 65.7527
834 65.7527 65.7527
835 65.7527 65.7527
836 65.7527 65.7527
837 65.7527 65.7527
838 65.7527 65.7527
839 65.7527 65.7527
840 65.7527 65.7527
841 65.7527 65.7527
842 65.7527 65.7527
843 65.7527 65.7527
844 65.7527 65.7527
845 65.7527 65.7527
846 65.7527 65.7527
847 65.7527 65.7527
848 65.7527 65.7527
849 65.7527 65.7527
850 65.7527 65.7527
851 65.7527 65.7527
852 65.7527 65.7527
853 65.7527 65.7527
854 65.7527 65.7527
855 65.7527 65.7527
856 65.7527 65.7527
857 65.7527 65.7527
858 65.7527 65.7527
859 65.7527 65.7527
860 65.7527 65.7527
861 65.7527 65.7527
862 65.7527 65.7527
863 65.7527 65.7527
864 65.7527 65.7527
865 65.7527 65.7527
866 65.7527 65.7527
867 65.7527 65.7527
868 65.7527 65.7527
869 65.7527 65.7527
870 65.7527 65.7527
871 65.7527 65.7527
872 65.7527 65.7527
873 65.7527 65.7527
874 65.7527 65.7527
875 65.7527 65.7527
876 65.7527 65.7527
877 65.7527 65.7527
878 65.7527 65.7527
879 65.7527 65.7527
880 65.7527 65.7527
881 65.7527 65.7527
882 65.7527 65.7527
883 65.7527 65.7527
884 65.7527 65.7527
885 65.7527 65.7527
886 65.7527 65.7527
887 65.7527 65.7527
888 65.7527 65.7527
889 65.7527 65.7527
890 65.7527 65.7527
891 65.7527 65.7527
892 65.7527 65.7527
893 65.7527 65.7527
894 65.7527 65.7527
895 65.7527 65.7527
896 65.7527 65.7527
897 65.7527 65.7527
898 65.7527 65.7527
899 65.7527 65.7527
900 65.7527 65.7527
901 65.7527 65.7527
902 65.7527 65.7527
903 65.7527 65.7527
904 65.7527 65.7527
905 65.7527 65.7527
906 65.7527 65.7527
907 65.7527 65.7527
908 65.7527 65.7527
909 65.7527 65.7527
910 65.7527 65.7527
911 65.7527 65.7527
912 65.7527 65.7527
913 65.7527 65.7527
914 65.7527 65.7527
915 65.7527 65.7527
916 65.7527 65.7527
917 65.7527 65.7527
918 65.7527 65.7527
919 65.7527 65.7527
920 65.7527 65.7527
921 65.7527 65.7527
922 65.7527 65.7527
923 65.7527 65.7527
924 65.7527 65.7527
925 65.7527 65.7527
926 65.7527 65.7527
927 65.7527 65.7527
928 65.7527 65.7527
929 65.7527 65.7527
930 65.7527 65.7527
931 65.7527 65.7527
932 65.7527 65.7527
933 65.7527 65.7527
934 65.7527 65.7527
935 65.7527 65.7527
936 65.7527 65.7527
937 65.7527 65.7527
938 65.7527 65.7527
939 65.7527 65.7527
940 65.7527 65.7527
941 65.7527 65.7527
942 65.7527 65.7527
943 65.7527 65.7527
944 65.7527 65.7527
945 65.7527 65.7527
946 65.7527 65.7527
947 65.7527 65.7527
948 65.7527 65.7527
949 65.7527 65.7527
950 65.7527 65.7527
951 65.7527 65.7527
952 65.7527 65.7527
953 65.7527 65.7527
954 65.7527 65.7527
955 65.7527 65.7527
956 65.7527 65.7527
957 65.7527 65.7527
958 65.7527 65.7527
959 65.7527 65.7527
960 65.7527 65.7527
961 65.7527 65.7527
962 65.7527 65.7527
963 65.7527 65.7527
964 65.7527 65.7527
965 65.7527 65.7527
966 65.7527 65.7527
967 65.7527 65.7527
968 65.7527 65.7527
969 65.7527 65.7527
970 65.7527 65.7527
971 65.7527 65.7527
972 65.7527 65.7527
973 65.7527 65.7527
974 65.7527 65.7527
975 65.7527 65.7527
976 65.7527 65.7527
977 65.7527 65.7527
978 65.7527 65.7527
979 65.7527 65.7527
980 65.7527 65.7527
981 65.7527 65.7527
982 65.7527 65.7527
983 65.7527 65.7527
984 65.7527 65.7527
985 65.7527 65.7527
986 65.7527 65.7527
987 65.7527 65.7527
988 65.7527 65.7527
989 65.7527 65.7527
990 65.7527 65.7527
991 65.7527 65.7527
992 65.7527 65.7527
993 65.7527 65.7527
994 65.7527 65.7527
995 65.7527 65.7527
996 65.7527 65.7527
997 65.7527 65.7527
998 65.7527 65.7527
999 65.7527 65.7527
1000 65.7527 65.7527
1001 65.7527 65.7527
1002 65.7527 65.7527
1003 65.7527 65.7527
1004 65.7527 65.7527
1005 65.7527 65.7527
1006 65.7527 65.7527
1007 65.7527 65.7527
1008 65.7527 65.7527
1009 65.7527 65.7527
1010 65.7527 65.7527
1011 65.7527 65.7527
1012 65.7527 65.7527
1013 65.7527 65.7527
1014 65.7527 65.7527
1015 65.7527 65.7527
1016 65.7527 65.7527
1017 65.7527 65.7527
1018 65.7527 65.7527
1019 65.7527 65.7527
1020 65.7527 65.7527
1021 65.7527 65.7527
1022 65.7527 65.7527
1023 65.7527 65.7527
1024 65.7527 65.7527
1025 65.7527 65.7527
1026 65.7527 65.7527
1027 65.7527 65.7527
1028 65.7527 65.7527
1029 65.7527 65.7527
1030 65.7527 65.7527
1031 65.7527 65.7527
1032 65.7527 65.7527
1033 65.7527 65.7527
1034 65.7527 65.7527
1035 65.7527 65.7527
1036 65.7527 65.7527
1037 65.7527 65.7527
1038 65.7527 65.7527
1039 65.7527 65.7527
1040 65.7527 65.7527
1041 65.7527 65.7527
1042 65.7527 65.7527
1043 65.7527 65.7527
1044 65.7527 65.7527
1045 65.7527 65.7527
1046 65.7527 65.7527
1047 65.7527 65.7527
1048 65.7527 65.7527
1049 65.7527 65.7527
1050 65.7527 65.7527
1051 65.7527 65.7527
1052 65.7527 65.7527
1053 65.7527 65.7527
1054 65.7527 65.7527
1055 65.7527 65.7527
1056 65.7527 65.7527
1057 65.7527 65.7527
1058 65.7527 65.7527
1059 65.7527 65.7527
1060 65.7527 65.7527
1061 65.7527 65.7527
1062 65.7527 65.7527
1063 65.7527 65.7527
1064 65.7527 65.7527
1065 65.7527 65.7527
1066 65.7527 65.7527
1067 65.7527 65.7527
1068 65.7527 65.7527
1069 65.7527 65.7527
1070 65.7527 65.7527
1071 65.7527 65.7527
1072 65.7527 65.7527
1073 65.7527 65.7527
1074 65.7527 65.7527
1075 65.7527 65.7527
1076 65.7527 65.7527
1077 65.7527 65.7527
1078 65.7527 65.7527
1079 65.7527 65.7527
1080 65.7527 65.7527
1081 65.7527 65.7527
1082 65.7527 65.7527
1083 65.7527 65.7527
1084 65.7527 65.7527
1085 65.7527 65.7527
1086 65.7527 65.7527
1087 65.7527 65.7527
1088 65.7527 65.7527
1089 65.7527 65.7527
1090 65.7527 65.7527
1091 65.7527 65.7527
1092 65.7527 65.7527
1093 65.7527 65.7527
1094 65.7527 65.7527
1095 65.7527 65.7527
1096 65.7527 65.7527
1097 65.7527 65.7527
1098 65.7527 65.7527
1099 65.7527 65.7527
1100 65.7527 65.7527
1101 65.7527 65.7527
1102 65.7527 65.7527
1103 65.7527 65.7527
1104 65.7527 65.7527
1105 65.7527 65.7527
1106 65.7527 65.7527
1107 65.7527 65.7527
1108 65.7527 65.7527
1109 65.7527 65.7527
1110 65.7385 65.7527
1111 65.7385 65.7477
1112 65.7385 65.7391
1113 65.7385 65.7385
1114 65.7385 65.7385
1115 65.7385 65.7385
1116 65.7385 65.7385
1117 65.7385 65.7385
1118 65.7385 65.7385
1119 65.7385 65.7385
1120 65.7385 65.7385
1121 65.7385 65.7385
1122 65.7385 65.7385
1123 65.7385 65.7385
1124 65.7385 65.7385
1125 65.7385 65.7385
1126 65.7385 65.7385
1127 65.7385 65.7385
1128 65.7385 65.7385
1129 65.7385 65.7385
1130 65.7385 65.7385
1131 65.7385 65.7385
1132 65.7385 65.7385
1133 65.7385 65.7385
1134 65.7385 65.7385
1135 65.7385 65.7385
1136 65.7385 65.7385
1137 65.7385 65.7385
1138 65.7385 65.7385
1139 65.7385 65.7385
1140 65.7385 65.7385
1141 65.7385 65.7385
1142 65.7385 65.7385
1143 65.7385 65.7385
1144 65.7385 65.7385
1145 65.7385 65.7385
1146 65.7385 65.7385
1147 65.7385 65.7385
1148 65.7385 65.7385
1149 65.7385 65.7385
1150 65.7385 65.7385
1151 65.7385 65.7385
1152 65.7385 65.7385
1153 65.7385 65.7385
1154 65.7385 65.7385
1155 65.7385 65.7385
1156 65.7385 65.7385
1157 65.7385 65.7385
1158 65.7385 65.7385
1159 65.7385 65.7385
1160 65.7385 65.7385
1161 65.7385 65.7385
1162 65.7385 65.7385
1163 65.7385 65.7385
1164 65.7385 65.7385
1165 65.7385 65.7385
1166 65.7385 65.7385
1167 65.7385 65.7385
