# Generation Best_Length AvgBestHalf
734 67.1596 71.3375
735 67.1596 71.3374
736 67.1596 71.3332
737 67.1596 71.329
738 67.1596 71.3285
739 67.1596 71.3285
740 67.1596 71.3285
741 67.1596 71.3285
742 67.1596 71.3361
743 67.1596 71.3251
744 67.1596 71.3433
745 67.1596 71.3136
746 67.1596 71.3031
747 67.1596 71.303
748 67.1596 71.2953
749 67.1596 71.284
750 67.1596 71.2758
751 67.1596 71.265
752 67.1596 71.2408
753 67.1596 71.2078
754 67.1596 71.2076
755 67.1596 71.2076
756 67.1596 71.2076
757 67.1596 71.2076
758 67.1596 71.2076
759 67.1596 71.2066
760 67.1596 71.2217
761 67.1596 71.2044
762 67.1596 71.2073
763 67.1596 71.2037
764 67.1596 71.2037
765 67.1596 71.2037
766 67.1596 71.2037
767 67.1596 71.2037
768 67.1596 71.2037
769 67.1596 71.2037
770 67.1596 71.2037
771 67.1596 71.2037
772 67.1596 71.2037
773 67.1596 71.2037
774 67.1596 71.2037
775 67.1596 71.2037
776 67.1596 71.2037
777 67.1596 71.2037
778 67.1596 71.2037
779 67.1596 71.2037
780 67.1596 71.2037
781 67.1596 71.2037
782 67.1596 71.2037
783 67.1596 71.2037
784 67.1596 71.2037
785 67.1596 71.2037
786 67.1596 71.2037
787 67.1596 71.2037
788 67.1596 71.2037
789 67.1596 71.2037
790 67.1596 71.2037
791 67.1596 71.2037
792 67.1596 71.2037
793 67.1596 71.2037
794 67.1596 71.2037
795 67.1596 71.2037
796 67.1596 71.2037
797 67.1596 71.2037
798 67.1596 71.2037
799 67.1596 71.2037
800 67.1596 71.2037
801 67.1596 71.2037
802 67.1596 71.2037
803 67.1596 71.2037
804 67.1596 71.2037
805 67.1596 71.2037
806 67.1596 71.2037
807 67.1596 71.2037
808 67.1596 71.2037
809 67.1596 71.2037
810 67.1596 71.2037
811 67.1596 71.2037
812 67.1596 71.2037
813 67.1596 71.2037
814 67.1596 71.2037
815 67.1596 71.2037
