#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         224     1.96873     1.98355  0.00102797
         225     1.96922     1.98349  0.00102538
         226      1.9697     1.98343  0.00102265
         227     1.97017     1.98337  0.00101981
         228     1.97063     1.98332  0.00101687
         229     1.97108     1.98326  0.00101383
         230     1.97151     1.98321  0.00101071
         231     1.97191     1.98316  0.00100752
         232      1.9723     1.98312  0.00100427
         233     1.97266     1.98307  0.00100096
         234     1.97299     1.98303 0.000997606
         235     1.97329     1.98299 0.000994221
         236     1.97356     1.98295  0.00099081
         237     1.97379     1.98291 0.000987383
         238     1.97398     1.98287 0.000983946
         239     1.97413     1.98283 0.000980509
         240     1.97423      1.9828 0.000977078
         241     1.97428     1.98276 0.000973663
         242     1.97428     1.98273  0.00097027
         243     1.97422     1.98269 0.000966908
         244      1.9741     1.98266 0.000963586
         245     1.97392     1.98262 0.000960313
         246     1.97367     1.98258 0.000957098
         247     1.97335     1.98255 0.000953954
         248     1.97295     1.98251 0.000950891
         249     1.97248     1.98247 0.000947925
         250     1.97192     1.98243 0.000945072
         251     1.97128     1.98238 0.000942349
         252     1.97056     1.98233 0.000939777
         253     1.96974     1.98228 0.000937379
         254     1.96884     1.98223 0.000935183
         255     1.96784     1.98218 0.000933218
         256     1.96675     1.98212 0.000931517
         257     1.96556     1.98205 0.000930116
         258     1.96429     1.98198 0.000929055
         259     1.96293     1.98191 0.000928377
         260     1.96148     1.98183 0.000928126
         261     1.95995     1.98175 0.000928349
         262     1.95834     1.98166 0.000929094
         263     1.95667     1.98156 0.000930408
         264     1.95493     1.98146 0.000932337
         265     1.95314     1.98135 0.000934922
         266     1.95132     1.98124 0.000938202
         267     1.94946     1.98112 0.000942207
         268     1.94759       1.981  0.00094696
         269     1.94573     1.98087 0.000952475
         270     1.94387     1.98073 0.000958752
         271     1.94204     1.98059 0.000965782
         272     1.94026     1.98044 0.000973542
         273     1.93854     1.98028 0.000981996
         274      1.9369     1.98013 0.000991097
         275     1.93534     1.97996  0.00100079
         276     1.93388      1.9798  0.00101099
         277     1.93253     1.97963  0.00102164
         278      1.9313     1.97945  0.00103265
         279     1.93019     1.97928  0.00104393
         280     1.92922      1.9791   0.0010554
         281     1.92838     1.97892  0.00106697
         282     1.92766     1.97873  0.00107855
         283     1.92708     1.97855  0.00109007
         284     1.92663     1.97837  0.00110146
         285      1.9263     1.97819  0.00111265
         286     1.92608       1.978  0.00112358
         287     1.92597     1.97782   0.0011342
         288     1.92596     1.97764  0.00114447
         289     1.92604     1.97746  0.00115435
         290      1.9262     1.97729  0.00116383
         291     1.92644     1.97711  0.00117287
         292     1.92675     1.97694  0.00118147
         293     1.92712     1.97677  0.00118961
         294     1.92755      1.9766  0.00119728
         295     1.92803     1.97644  0.00120449
         296     1.92856     1.97628  0.00121124
         297     1.92912     1.97612  0.00121752
         298     1.92973     1.97596  0.00122334
         299     1.93038     1.97581  0.00122871
         300     1.93106     1.97566  0.00123364
         301     1.93177     1.97551  0.00123813
         302     1.93252     1.97537  0.00124219
         303     1.93328     1.97523  0.00124583
         304     1.93408      1.9751  0.00124907
         305     1.93489     1.97497  0.00125191
         306     1.93572     1.97484  0.00125437
         307     1.93657     1.97471  0.00125646
         308     1.93742     1.97459   0.0012582
         309     1.93828     1.97447  0.00125961
         310     1.93914     1.97436  0.00126069
         311        1.94     1.97425  0.00126147
         312     1.94085     1.97414  0.00126196
         313     1.94168     1.97404  0.00126218
         314      1.9425     1.97394  0.00126215
         315      1.9433     1.97384  0.00126189
         316     1.94406     1.97375  0.00126141
         317      1.9448     1.97366  0.00126073
         318     1.94551     1.97357  0.00125987
         319     1.94618     1.97348  0.00125884
         320     1.94681      1.9734  0.00125766
         321     1.94739     1.97332  0.00125635
         322     1.94794     1.97324  0.00125492
         323     1.94844     1.97316  0.00125338
         324     1.94889     1.97309  0.00125175
         325     1.94929     1.97301  0.00125004
         326     1.94965     1.97294  0.00124826
         327     1.94996     1.97287  0.00124642
         328     1.95022      1.9728  0.00124453
         329     1.95043     1.97273   0.0012426
         330      1.9506     1.97267  0.00124065
         331     1.95071      1.9726  0.00123867
         332     1.95079     1.97253  0.00123668
         333     1.95082     1.97247  0.00123469
         334      1.9508      1.9724  0.00123269
         335     1.95074     1.97234  0.00123071
         336     1.95064     1.97228  0.00122874
         337      1.9505     1.97221  0.00122679
         338     1.95032     1.97215  0.00122487
         339      1.9501     1.97208  0.00122298
         340     1.94985     1.97202  0.00122113
         341     1.94956     1.97195  0.00121933
         342     1.94924     1.97188  0.00121757
         343     1.94889     1.97182  0.00121586
         344     1.94852     1.97175  0.00121421
         345     1.94812     1.97168  0.00121262
         346     1.94769     1.97161   0.0012111
         347     1.94725     1.97154  0.00120964
         348     1.94679     1.97147  0.00120825
         349     1.94632      1.9714  0.00120694
         350     1.94584     1.97132   0.0012057
         351     1.94536     1.97125  0.00120453
         352     1.94487     1.97118  0.00120344
         353     1.94439      1.9711  0.00120242
         354     1.94392     1.97102  0.00120147
         355     1.94345     1.97095  0.00120059
         356       1.943     1.97087  0.00119978
         357     1.94258     1.97079  0.00119904
         358     1.94217     1.97071  0.00119835
         359     1.94179     1.97063  0.00119771
         360     1.94145     1.97055  0.00119713
         361     1.94114     1.97046  0.00119658
         362     1.94087     1.97038  0.00119606
         363     1.94064      1.9703  0.00119557
         364     1.94046     1.97022  0.00119509
         365     1.94032     1.97014  0.00119462
         366     1.94024     1.97006  0.00119415
         367      1.9402     1.96997  0.00119366
         368     1.94022     1.96989  0.00119316
         369     1.94029     1.96981  0.00119262
         370     1.94042     1.96973  0.00119204
         371      1.9406     1.96965  0.00119141
         372     1.94083     1.96958  0.00119072
         373     1.94112      1.9695  0.00118997
         374     1.94146     1.96943  0.00118915
         375     1.94186     1.96935  0.00118825
         376      1.9423     1.96928  0.00118726
