#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         206   -0.369182   -0.341778  0.00091699
         207   -0.370105   -0.341914 0.000922714
         208   -0.371012   -0.342054 0.000928822
         209   -0.371908   -0.342197 0.000935296
         210   -0.372788   -0.342343 0.000942118
         211   -0.373651   -0.342491 0.000949266
         212     -0.3745   -0.342642 0.000956721
         213   -0.375331   -0.342796 0.000964459
         214   -0.376148   -0.342952 0.000972463
         215   -0.376958    -0.34311 0.000980719
         216   -0.377746    -0.34327 0.000989201
         217   -0.378519   -0.343432  0.00099789
         218   -0.379278   -0.343597  0.00100677
         219   -0.380026   -0.343763  0.00101582
         220    -0.38076   -0.343931  0.00102503
         221   -0.381477   -0.344101  0.00103437
         222   -0.382185   -0.344273  0.00104384
         223   -0.382883   -0.344446  0.00105342
         224   -0.383561   -0.344621  0.00106309
         225   -0.384238   -0.344797  0.00107285
         226   -0.384898   -0.344974  0.00108268
         227   -0.385543   -0.345153  0.00109256
         228   -0.386175   -0.345333  0.00110248
         229   -0.386801   -0.345514  0.00111244
         230   -0.387411   -0.345696  0.00112242
         231   -0.388015   -0.345879  0.00113241
         232   -0.388602   -0.346063  0.00114241
         233   -0.389174   -0.346248  0.00115239
         234    -0.38974   -0.346434  0.00116236
         235   -0.390292   -0.346621   0.0011723
         236   -0.390833   -0.346808   0.0011822
         237    -0.39136   -0.346996  0.00119207
         238   -0.391878   -0.347185  0.00120188
         239   -0.392387   -0.347374  0.00121164
         240   -0.392886   -0.347564  0.00122134
         241    -0.39338   -0.347754  0.00123098
         242   -0.393857   -0.347944  0.00124055
         243   -0.394318   -0.348135  0.00125004
         244   -0.394767   -0.348326  0.00125944
         245   -0.395209   -0.348517  0.00126875
         246   -0.395641   -0.348709  0.00127798
         247   -0.396066   -0.348901   0.0012871
         248   -0.396482   -0.349093  0.00129613
         249   -0.396886   -0.349285  0.00130506
         250   -0.397277   -0.349477  0.00131389
         251   -0.397659   -0.349669   0.0013226
         252   -0.398028    -0.34986   0.0013312
         253   -0.398391   -0.350052  0.00133969
         254   -0.398743   -0.350244  0.00134806
         255   -0.399084   -0.350435  0.00135631
         256   -0.399414   -0.350627  0.00136444
         257   -0.399735   -0.350818  0.00137245
         258   -0.400047   -0.351009  0.00138033
         259   -0.400349   -0.351199  0.00138808
         260   -0.400641   -0.351389  0.00139571
         261    -0.40092   -0.351579   0.0014032
         262   -0.401187   -0.351768  0.00141056
         263   -0.401449   -0.351957  0.00141779
         264   -0.401698   -0.352146  0.00142489
         265   -0.401936   -0.352334  0.00143184
         266   -0.402169   -0.352521  0.00143867
         267   -0.402391   -0.352708  0.00144535
         268   -0.402596   -0.352894   0.0014519
         269   -0.402794   -0.353079   0.0014583
         270   -0.402978   -0.353264  0.00146456
         271   -0.403147   -0.353448  0.00147068
         272   -0.403304   -0.353632  0.00147665
         273   -0.403461   -0.353814  0.00148248
         274   -0.403599   -0.353996  0.00148816
         275   -0.403725   -0.354177   0.0014937
         276   -0.403841   -0.354357  0.00149908
         277   -0.403946   -0.354536  0.00150432
         278   -0.404036   -0.354714  0.00150941
         279   -0.404113   -0.354891  0.00151435
         280   -0.404178   -0.355067  0.00151914
         281   -0.404228   -0.355242  0.00152377
         282    -0.40426   -0.355416  0.00152825
         283   -0.404279   -0.355588  0.00153258
         284   -0.404284    -0.35576  0.00153674
         285   -0.404275    -0.35593  0.00154075
         286   -0.404253   -0.356099   0.0015446
         287   -0.404212   -0.356267  0.00154829
         288   -0.404159   -0.356433  0.00155182
         289   -0.404086   -0.356598  0.00155518
         290   -0.403997   -0.356761  0.00155838
         291   -0.403891   -0.356923  0.00156142
         292   -0.403765   -0.357084  0.00156429
         293   -0.403625   -0.357242    0.001567
         294   -0.403472     -0.3574  0.00156954
         295   -0.403294   -0.357555  0.00157191
         296   -0.403098   -0.357709  0.00157411
         297   -0.402882   -0.357861  0.00157614
         298   -0.402658   -0.358011  0.00157801
         299   -0.402408    -0.35816   0.0015797
         300   -0.402145   -0.358307  0.00158122
         301   -0.401859   -0.358451  0.00158257
         302    -0.40156   -0.358594  0.00158376
         303   -0.401244   -0.358735  0.00158477
         304   -0.400914   -0.358873  0.00158562
         305    -0.40056    -0.35901   0.0015863
         306   -0.400192   -0.359145  0.00158682
         307   -0.399802   -0.359277  0.00158717
         308   -0.399399   -0.359407  0.00158735
         309    -0.39898   -0.359536  0.00158737
         310   -0.398551   -0.359661  0.00158723
         311   -0.398105   -0.359785  0.00158694
         312   -0.397646   -0.359906  0.00158648
         313   -0.397174   -0.360025  0.00158587
         314   -0.396683   -0.360142  0.00158512
         315   -0.396186   -0.360257  0.00158421
         316   -0.395682   -0.360369  0.00158316
         317   -0.395167   -0.360478  0.00158196
         318   -0.394648   -0.360586  0.00158063
         319   -0.394119   -0.360691  0.00157917
         320   -0.393589   -0.360794  0.00157758
         321   -0.393051   -0.360894  0.00157586
         322   -0.392512   -0.360993  0.00157402
         323    -0.39197   -0.361088  0.00157207
         324   -0.391433   -0.361182     0.00157
         325   -0.390893   -0.361273  0.00156783
         326   -0.390355   -0.361363  0.00156556
         327   -0.389818    -0.36145  0.00156319
         328    -0.38929   -0.361535  0.00156073
         329    -0.38877   -0.361617  0.00155818
         330   -0.388255   -0.361698  0.00155554
         331   -0.387754   -0.361777  0.00155283
         332   -0.387264   -0.361854  0.00155005
         333   -0.386778   -0.361928   0.0015472
         334   -0.386311   -0.362001  0.00154429
         335   -0.385857   -0.362073  0.00154132
         336   -0.385411   -0.362142   0.0015383
         337   -0.384987    -0.36221  0.00153523
         338    -0.38457   -0.362276  0.00153211
         339   -0.384169   -0.362341  0.00152895
         340   -0.383783   -0.362404  0.00152576
         341   -0.383408   -0.362465  0.00152252
         342   -0.383052   -0.362525  0.00151926
         343   -0.382704   -0.362584  0.00151597
         344   -0.382376   -0.362642  0.00151266
         345   -0.382049   -0.362698  0.00150932
         346   -0.381737   -0.362753  0.00150596
         347   -0.381434   -0.362807  0.00150258
         348   -0.381138    -0.36286  0.00149919
         349   -0.380853   -0.362911  0.00149578
         350   -0.380571   -0.362962  0.00149235
         351   -0.380286   -0.363011  0.00148892
         352   -0.380002   -0.363059  0.00148547
         353   -0.379712   -0.363106  0.00148201
         354   -0.379421   -0.363153  0.00147854
         355   -0.379124   -0.363198  0.00147506
         356   -0.378821   -0.363241  0.00147157
         357   -0.378502   -0.363284  0.00146807
         358   -0.378173   -0.363326  0.00146456
         359   -0.377824   -0.363366  0.00146103
         360   -0.377457   -0.363405   0.0014575
         361   -0.377073   -0.363443  0.00145395
         362   -0.376664    -0.36348   0.0014504
         363   -0.376228   -0.363515  0.00144682
         364   -0.375758   -0.363548  0.00144324
         365    -0.37526   -0.363581  0.00143964
         366   -0.374732   -0.363611  0.00143603
         367    -0.37417    -0.36364  0.00143241
         368   -0.373579   -0.363667  0.00142877
         369   -0.372948   -0.363692  0.00142512
         370   -0.372278   -0.363715  0.00142146
         371   -0.371579   -0.363736  0.00141778
         372   -0.370836   -0.363755   0.0014141
         373    -0.37006   -0.363772  0.00141041
         374   -0.369243   -0.363787  0.00140671
         375   -0.368382   -0.363799  0.00140302
         376   -0.367487   -0.363809  0.00139932
         377   -0.366548   -0.363816  0.00139563
         378   -0.365575   -0.363821  0.00139194
         379   -0.364562   -0.363823  0.00138827
         380   -0.363513   -0.363822  0.00138462
         381   -0.362424   -0.363818  0.00138099
         382   -0.361301   -0.363812  0.00137739
         383   -0.360142   -0.363802  0.00137383
         384   -0.358949    -0.36379  0.00137031
         385   -0.357727   -0.363774  0.00136684
         386   -0.356476   -0.363755  0.00136343
         387    -0.35519   -0.363733  0.00136008
         388   -0.353878   -0.363707  0.00135682
         389   -0.352539   -0.363679  0.00135363
         390   -0.351173   -0.363647  0.00135054
         391   -0.349783   -0.363611  0.00134755
         392   -0.348365   -0.363572  0.00134468
         393   -0.346927    -0.36353  0.00134192
         394   -0.345461   -0.363484   0.0013393
         395   -0.343977   -0.363435  0.00133682
         396   -0.342475   -0.363382  0.00133449
         397   -0.340954   -0.363325  0.00133232
         398   -0.339415   -0.363265  0.00133033
         399   -0.337859   -0.363201  0.00132852
         400   -0.336286   -0.363134   0.0013269
         401   -0.334702   -0.363063  0.00132548
         402   -0.333105   -0.362989  0.00132428
         403   -0.331504   -0.362911   0.0013233
         404   -0.329897   -0.362829  0.00132254
         405   -0.328286   -0.362744  0.00132202
         406   -0.326678   -0.362655  0.00132175
         407    -0.32508   -0.362562  0.00132172
         408   -0.323485   -0.362467  0.00132195
         409   -0.321916   -0.362368  0.00132243
         410   -0.320373   -0.362265  0.00132316
         411   -0.318862    -0.36216  0.00132415
         412   -0.317401   -0.362051  0.00132539
         413   -0.315986   -0.361939  0.00132686
         414   -0.314629   -0.361825  0.00132857
         415   -0.313345   -0.361708  0.00133049
         416   -0.312142   -0.361589  0.00133262
         417   -0.311035   -0.361468  0.00133493
         418   -0.310021   -0.361345   0.0013374
