#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         227   -0.341333   -0.360275  0.00152942
         228   -0.342003   -0.360195  0.00152481
         229   -0.342644   -0.360118  0.00152008
         230   -0.343251   -0.360045  0.00151524
         231   -0.343829   -0.359974   0.0015103
         232   -0.344367   -0.359907  0.00150529
         233   -0.344865   -0.359843  0.00150022
         234   -0.345314   -0.359781  0.00149509
         235   -0.345716   -0.359721  0.00148992
         236   -0.346062   -0.359663  0.00148473
         237   -0.346352   -0.359607  0.00147953
         238   -0.346571   -0.359552  0.00147433
         239   -0.346726   -0.359498  0.00146914
         240   -0.346802   -0.359445  0.00146397
         241   -0.346805   -0.359393  0.00145883
         242   -0.346715    -0.35934  0.00145374
         243   -0.346542   -0.359288  0.00144871
         244   -0.346266   -0.359234  0.00144376
         245   -0.345894    -0.35918  0.00143889
         246   -0.345412   -0.359124  0.00143413
         247   -0.344818   -0.359066   0.0014295
         248    -0.34411   -0.359006    0.001425
         249    -0.34328   -0.358943  0.00142068
         250   -0.342323   -0.358876  0.00141655
         251   -0.341234   -0.358806  0.00141265
         252   -0.340011   -0.358731  0.00140901
         253   -0.338652   -0.358652  0.00140568
         254   -0.337153   -0.358567  0.00140269
         255   -0.335515   -0.358477   0.0014001
         256    -0.33374    -0.35838  0.00139796
         257   -0.331832   -0.358277  0.00139633
         258   -0.329787   -0.358167  0.00139528
         259   -0.327613   -0.358049  0.00139487
         260   -0.325317   -0.357923  0.00139517
         261   -0.322905   -0.357789  0.00139626
         262   -0.320385   -0.357646  0.00139821
         263   -0.317783   -0.357494  0.00140109
         264     -0.3151   -0.357334  0.00140495
         265    -0.31236   -0.357164  0.00140986
         266   -0.309575   -0.356985  0.00141587
         267   -0.306775   -0.356797    0.001423
         268    -0.30397     -0.3566  0.00143128
         269   -0.301184   -0.356394  0.00144071
         270   -0.298447   -0.356179  0.00145127
         271   -0.295778   -0.355956  0.00146293
         272   -0.293193   -0.355726  0.00147563
         273   -0.290724   -0.355487  0.00148931
         274   -0.288387   -0.355243  0.00150388
         275   -0.286195   -0.354991  0.00151923
         276    -0.28417   -0.354735  0.00153524
         277   -0.282324   -0.354473  0.00155179
         278   -0.280664   -0.354208  0.00156876
         279   -0.279205   -0.353939    0.001586
         280    -0.27794   -0.353668  0.00160339
         281   -0.276872   -0.353394  0.00162081
         282   -0.276005    -0.35312  0.00163813
         283   -0.275324   -0.352845  0.00165525
         284   -0.274825    -0.35257  0.00167206
         285   -0.274501   -0.352296  0.00168849
         286   -0.274331   -0.352024  0.00170445
         287    -0.27431   -0.351753  0.00171988
         288   -0.274432   -0.351485  0.00173474
         289    -0.27468   -0.351219  0.00174897
         290   -0.275041   -0.350956  0.00176256
         291   -0.275503   -0.350697  0.00177547
         292   -0.276058   -0.350441   0.0017877
         293   -0.276701    -0.35019  0.00179922
         294   -0.277418   -0.349942  0.00181005
         295   -0.278205   -0.349699  0.00182018
         296   -0.279061    -0.34946   0.0018296
         297   -0.279973   -0.349226  0.00183834
         298   -0.280942   -0.348997   0.0018464
         299   -0.281968   -0.348773  0.00185378
         300   -0.283034   -0.348554  0.00186051
         301   -0.284147    -0.34834  0.00186659
         302   -0.285301   -0.348131  0.00187205
         303   -0.286492   -0.347928  0.00187689
         304   -0.287711    -0.34773  0.00188114
         305   -0.288957   -0.347537  0.00188481
         306   -0.290225    -0.34735  0.00188794
         307   -0.291507   -0.347168  0.00189053
         308   -0.292795   -0.346991  0.00189262
         309   -0.294088    -0.34682  0.00189422
         310   -0.295377   -0.346654  0.00189536
         311   -0.296647   -0.346493  0.00189608
         312   -0.297898   -0.346337  0.00189639
         313   -0.299125   -0.346187  0.00189632
         314   -0.300319   -0.346041   0.0018959
         315   -0.301473   -0.345899  0.00189515
         316   -0.302579   -0.345762   0.0018941
         317   -0.303638   -0.345629  0.00189278
         318   -0.304643     -0.3455  0.00189122
         319   -0.305589   -0.345375  0.00188942
         320   -0.306473   -0.345254  0.00188742
         321   -0.307288   -0.345135  0.00188525
         322    -0.30803    -0.34502  0.00188291
         323   -0.308708   -0.344908  0.00188043
         324   -0.309319   -0.344798  0.00187783
         325   -0.309854    -0.34469  0.00187513
         326   -0.310321   -0.344585  0.00187234
         327    -0.31071   -0.344481  0.00186948
         328   -0.311026   -0.344379  0.00186656
         329   -0.311277   -0.344279   0.0018636
         330   -0.311455   -0.344179   0.0018606
         331   -0.311564   -0.344081  0.00185759
         332   -0.311606   -0.343983  0.00185457
         333   -0.311584   -0.343886  0.00185155
         334   -0.311493   -0.343789  0.00184854
